time_key,col,auc,n
201804,hist_rate_purpose,0.5417886932344763,2050
201805,hist_rate_purpose,0.5373997737050903,1979
201806,hist_rate_purpose,0.5448432932456949,1456
201807,hist_rate_purpose,0.5198493533563884,1282
201808,hist_rate_purpose,0.5453121360354064,1044
201809,hist_rate_purpose,0.5491979183432587,711
201810,hist_rate_purpose,0.5132124027115239,597
201811,hist_rate_purpose,0.4895466290815128,482
201812,hist_rate_purpose,0.23789173789173787,356
201601,hist_rate_regionCode,0.5344552499021689,8316
201602,hist_rate_regionCode,0.5176867415132097,10254
201603,hist_rate_regionCode,0.5249897425661327,14575
201604,hist_rate_regionCode,0.5306198748178069,7093
201605,hist_rate_regionCode,0.5305964588852891,5261
201606,hist_rate_regionCode,0.5360517524186971,6098
201607,hist_rate_regionCode,0.5417292978468932,6453
201608,hist_rate_regionCode,0.5167482977922172,6697
201609,hist_rate_regionCode,0.542477588129797,5029
201610,hist_rate_regionCode,0.5295464233262388,5582
201611,hist_rate_regionCode,0.5410743711049831,5713
201612,hist_rate_regionCode,0.5190764860729823,5890
201701,hist_rate_regionCode,0.5199480050529476,4876
201702,hist_rate_regionCode,0.5611385927875803,4060
201703,hist_rate_regionCode,0.5400404261917421,4988
201704,hist_rate_regionCode,0.5261289909666094,3881
201705,hist_rate_regionCode,0.5422431745740189,4871
201706,hist_rate_regionCode,0.530367976184719,4553
201707,hist_rate_regionCode,0.5543507134183363,4366
201708,hist_rate_regionCode,0.5398141039304508,4610
201709,hist_rate_regionCode,0.5251766245747485,3963
201710,hist_rate_regionCode,0.5428662066777699,3576
201711,hist_rate_regionCode,0.5260668506457464,3636
201712,hist_rate_regionCode,0.5395839986374571,2909
201801,hist_rate_regionCode,0.5248023689463178,2629
201802,hist_rate_regionCode,0.548680448132002,2057
201803,hist_rate_regionCode,0.5360231389505667,2118
201804,hist_rate_regionCode,0.5512488415199258,2050
201805,hist_rate_regionCode,0.5367022056769291,1979
201806,hist_rate_regionCode,0.5286532448527683,1456
201807,hist_rate_regionCode,0.5706254836009916,1282
201808,hist_rate_regionCode,0.5271430235266713,1044
201809,hist_rate_regionCode,0.4917511669080959,711
201810,hist_rate_regionCode,0.5717737886015566,597
201811,hist_rate_regionCode,0.4513742071881607,482
201812,hist_rate_regionCode,0.5891737891737892,356
